,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0,9,21,,,0,,,,105,0,,,39182,2164,0,65,22524,,,0,48,13,2426,34,0,,6,80,,0,86,,2845,,,452,0,24935,0,2567,0,36902,2,,7,0,579,27235,,,,64,0,5,0,,,2,16,,,604,511,0,1746,0,,90,269,352,11,0,1,24,0,,,,,663,2600,4541,,,,0,0,,0,8869,3,,,4917,,,,,50,,0,0,30,16,,13,,,238,63,970179,20200,0,0,1864,,125,54859,30,13420,,,,1841,,14,0,,,137908,1,9694,7,1344,2,0,141,,1,81,,0,7,2,216194,12153,0,72,,,0,5162,,4692,,0,,17,2,,14,1,152,,,4881,1997,,2289,3,0,0,,,,,3148,323766,171,,,,194,13,1,21,166,,290,1374,,54905,,197,1111,0,,,,26,,,9,0,,0,371114,0,,,0,88070,,,16,0,,3725,,18205,4629,,163,,49,,3,5183,2605,,,2,0,18878,12,1,,1,33,,4,657,0,,,31,180,229481,138214,151772,16,0,,43,9691,,,,,0,47,1
23,,0,0,0,,,0,,,,1,0,,,49,3,0,41,0,,,3,0,0,0,2,0,,0,0,,0,0,,6,,,1,0,0,0,0,0,2051,0,,0,0,2,5,,,,0,0,0,0,,,1,0,,,0,1,0,3,0,,0,0,0,4,0,0,0,0,,,,,0,2,16,,,,0,0,,0,1,0,,,1,,,,,0,,0,0,499,3,,0,,,0,0,46,0,0,0,3,,0,5,131,0,,,,0,,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,,0,0,,0,,0,,0,0,,0,0,0,,,0,16,,1,0,0,0,,,,,3,0,0,,,,4,0,0,0,0,,0,0,,0,,0,0,0,,,,293,,,256,0,,0,0,0,,,0,0,,,0,0,,6,,0,7,,0,,12,,0,10,13,,,0,0,0,0,0,,0,286,,0,0,0,,,0,0,0,2426,5374,0,0,,7,0,,,,,0,0,0
24,,24,0,6,,,0,,,,40,594,,,229,195,1535,0,0,,,0,0,0,183,0,0,,0,1,,0,0,,12,,,94,0,0,0,0,0,1229,0,,0,0,1,2,,,,1,0,1,0,,,1,11,,,53,522,0,105,0,,0,1,34,0,0,0,1719,2,,,,,0,276,372,,,,0,0,,1557,3967,0,,,224,,,,,0,,1,0,0,0,,0,,,77,6,6,0,9,0,100,,2380,3385,0,5,,,,3,,15363,0,,,0,1666,0,5797,6,0,0,54,,4805,5,,0,0,0,0,0,0,4,,,0,0,,1,,1191,,17,1,,0,0,0,,,0,64,,4,0,0,0,,,,,142,0,6,,,,1,0,0,0,0,,8054,120,,0,,24,161202,0,,,,0,,,0,0,,0,1,0,,,0,0,,,18,0,,26,,12,464,,0,,0,,0,334,138,,,798,0,0,0,0,,0,0,,0,59,1072,,,0,52502,1,632,5919,2,5088,,1,37,,,,,3,0,0
25,,207,351,1062,,,310,,,,197,556,,,2775,1428,118,11,3,,,95,1,226,0,0,58,,9,114,,163,4,,1341,,,2351,58,8,311,26,825,6899,18,,22,23,613,1019,,,,272,0,86,2176,,,54,229,,,140,721,212,1118,41,,135,622,311,20,4,15,133,77,,,,,1,823,49196,,,,74,24,,165,18103,353,,,2722,,,,,16,,530,6,2,29,,12,,,1290,51,775,143,536,337,697,,1396,31760,11,744,,,,65,,440,56,,,9,139,11,134,213,2,42,82,,169,8164,,363,56,4,46,0,40,108,,,81,111,,282,,108,,44,18,,9410,7,67,,,149,29863,,67,11,107,272,,,,,838,5,438,,,,91,0,15,223,445,,6864,4260,,6,,2759,2395,351,,,,0,,,0,0,,1,33,154,,,75,24,,,162,0,,3569,,117,12609,,63,,24,,0,1492,6151,,,11,26,335,0,256,,0,0,,473,12101,6,,,43,507,28,10762,8301,15,211,,160,145,,,,,8,16,16
26,,0,0,0,,,0,,,,1,0,,,16,11,0,10,0,,,0,5,0,0,0,0,,0,100,,0,0,,1,,,0,0,0,0,0,0,445,0,,0,0,1,191,,,,0,0,0,0,,,17,0,,,0,0,0,1,0,,0,0,0,750,0,0,0,0,,,,,0,1,2,,,,0,0,,0,8,0,,,1,,,,,2521,,0,0,0,5,,869,,,2,0,34,0,0,0,0,,0,6,38,0,,,,0,,0,0,,,0,0,0,0,5,0,0,0,,0,0,,0,0,0,0,0,0,0,,,0,0,,1344,,0,,0,0,,0,0,0,,,0,0,,0,4,0,4,,,,,0,0,0,,,,19,0,0,0,0,,0,0,,0,,0,0,0,,,,0,,,0,0,,0,0,0,,,0,0,,,0,0,,0,,0,16,,0,,0,,0,1,16,,,0,0,0,0,0,,0,0,,0,0,0,,,0,0,0,268,7741,0,0,,2,0,,,,,0,0,0
27,,0,0,0,,,0,,,,0,0,,,63,37,0,0,0,,,0,0,0,667,0,0,,0,0,,0,0,,12,,,13,1420,0,0,0,297,812,0,,0,81,2,0,,,,0,0,6478,0,,,0,0,,,4,20,7638,12,0,,0,0,16,0,0,0,0,0,,,,,0,20,6734,,,,6546,0,,0,981,6201,,,3,,,,,0,,2034,0,0,0,,0,,,11,1,0,0,0,0,11,,0,920,0,0,,,,0,,0,0,,,0,0,0,0,0,0,7,0,,0,0,,0,0,0,0,0,577,0,,,58,0,,0,,0,,0,0,,0,0,70,,,0,109,,0,0,9369,78589,,,,,17,0,0,,,,0,0,0,0,0,,0,13,,0,,0,51,0,,,,0,,,0,0,,0,0,413,,,43,0,,,0,0,,92,,0,86,,0,,0,,0,36,254,,,0,1,0,0,19832,,0,0,,0,0,0,,,0,0,1,261,17,0,0,,0,0,,,,,0,1,0
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,1,0,0,,,0,,,,0,0,,,913,21,0,1,84,,,6,0,0,40,1,0,,0,0,,0,9,,7,,,5,0,4,0,0,0,854,0,,0,0,4,134,,,,0,0,0,0,,,1,0,,,3,4,0,111,0,,2,2,1,0,0,0,0,0,,,,,1,15,49,,,,0,0,,0,90,0,,,6,,,,,0,,0,0,0,0,,0,,,2,1,6875,2,0,0,11,,10,105,1,86,,,,0,,3,0,,,623,0,0,0,0,0,0,0,,0,2,,0,1,1,86,0,0,1,,,0,7,,20,,0,,0,0,,0,2,1,,,4079,79,,69,0,0,0,,,,,76,978,384,,,,5,0,0,0,8,,2,7,,393,,1,11,0,,,,0,,,0,0,,0,530,0,,,0,125,,,0,0,,50,,61,11,,34,,0,,0,31,41,,,1,0,13,0,0,,0,1,,0,5,0,,,0,5,1076,631,1690,0,0,,0,3,,,,,0,5,0
30,,0,0,0,,,1,,,,89132,1,,,330,195,0,0,0,,,3,0,6,219,88,0,,0,0,,1,0,,15904,,,9,0,0,0,0,6,1631,11,,9,0,15378,122,,,,510,0,1,21,,,82,14,,,5,34,0,140,0,,53,614,2,23,0,0,1,0,,,,,0,81,852,,,,0,0,,0,1953,1,,,8,,,,,56,,1,0,0,2,,50,,,17,6,11,1,6,1,11,,25,4056,1,231,,,,2,,40,1,,,0,1,0,0,4,0,0,0,,1,3,,1,1,1,1,0,0,1,,,0,0,,1951,,1,,0,0,,3,1,1,,,1,304,,8,19,0,1,,,,,187,0,2,,,,144,0,562,2290,12,,40,76,,0,,9,105,0,,,,0,,,0,0,,0,1,1,,,0,0,,,2,0,,57,,59,20373,,0,,0,,0,1356,1153,,,0,0,1,0,0,,0,0,,0,28,0,,,0,35,0,1129,19289,54,1,,467,2,,,,,0,0,0
